iter	Passed	Remaining
679	14348	6752
680	14363	6728
681	14391	6710
682	14415	6690
683	14441	6671
684	14455	6647
685	14468	6622
686	14483	6598
687	14497	6574
688	14511	6550
689	14527	6526
690	14542	6503
691	14567	6483
692	14579	6458
693	14602	6438
694	14613	6413
695	14638	6393
696	14664	6374
697	14689	6355
698	14700	6330
699	14711	6304
700	14735	6285
701	14748	6260
702	14772	6241
703	14799	6222
704	14812	6198
705	14826	6174
706	14839	6150
707	14864	6130
708	14890	6111
709	14901	6086
710	14925	6066
711	14936	6041
712	14960	6021
713	14973	5997
714	14997	5977
715	15008	5952
716	15032	5933
717	15045	5909
718	15063	5887
719	15082	5865
720	15100	5843
721	15121	5822
722	15140	5800
723	15158	5778
724	15177	5757
725	15195	5734
726	15214	5713
727	15235	5692
728	15260	5673
729	15287	5654
730	15313	5635
731	15327	5611
732	15353	5592
733	15379	5573
734	15393	5549
735	15419	5530
736	15433	5507
737	15457	5487
738	15490	5470
739	15501	5446
740	15525	5426
741	15536	5402
742	15546	5377
743	15570	5357
744	15595	5338
745	15620	5318
746	15645	5298
747	15670	5279
748	15693	5259
749	15717	5239
750	15740	5218
751	15751	5194
752	15762	5170
753	15785	5150
754	15796	5126
755	15820	5106
756	15845	5086
757	15871	5067
758	15897	5047
759	15923	5028
760	15936	5005
761	15960	4984
762	15974	4961
763	15998	4942
764	16012	4918
765	16024	4895
766	16051	4876
767	16077	4856
768	16104	4837
769	16118	4814
770	16146	4795
771	16172	4776
772	16184	4752
773	16208	4732
774	16219	4708
775	16243	4688
776	16266	4668
777	16277	4644
778	16301	4624
779	16326	4605
780	16339	4581
781	16367	4562
782	16382	4540
783	16397	4517
784	16424	4498
785	16438	4475
786	16465	4456
787	16489	4436
788	16502	4413
789	16528	4393
790	16551	4373
791	16563	4350
792	16587	4330
793	16600	4306
794	16625	4287
795	16638	4264
796	16662	4244
797	16686	4223
798	16698	4200
799	16721	4180
800	16732	4157
801	16744	4134
802	16770	4114
803	16782	4091
804	16806	4071
805	16818	4048
806	16842	4028
807	16853	4004
808	16877	3984
809	16901	3964
810	16927	3944
811	16938	3921
812	16961	3901
813	16984	3881
814	17007	3860
815	17019	3837
816	17044	3817
817	17068	3797
818	17092	3777
819	17116	3757
820	17128	3734
821	17140	3711
822	17164	3691
823	17190	3671
824	17214	3651
825	17229	3629
826	17253	3609
827	17264	3586
828	17290	3566
829	17301	3543
830	17325	3523
831	17337	3500
832	17362	3480
833	17387	3460
834	17412	3440
835	17439	3421
836	17486	3405
837	17503	3383
838	17521	3362
839	17539	3340
840	17557	3319
841	17579	3298
842	17614	3280
843	17635	3259
844	17656	3238
845	17684	3219
846	17711	3199
847	17727	3177
848	17755	3157
849	17783	3138
850	17804	3117
851	17832	3097
852	17859	3077
853	17873	3055
854	17899	3035
855	17925	3015
856	17950	2995
857	17976	2975
858	18003	2955
859	18018	2933
860	18044	2913
861	18069	2892
862	18093	2872
863	18117	2851
864	18150	2832
865	18162	2810
866	18185	2789
867	18197	2767
868	18221	2746
869	18233	2724
870	18246	2702
871	18271	2682
872	18295	2661
873	18307	2639
874	18331	2618
875	18343	2596
876	18367	2575
877	18390	2555
878	18414	2534
879	18438	2514
880	18461	2493
881	18474	2471
882	18498	2451
883	18525	2430
884	18549	2410
885	18561	2388
886	18585	2367
887	18610	2347
888	18634	2326
889	18646	2304
890	18669	2283
891	18681	2261
892	18705	2241
893	18716	2219
894	18741	2198
895	18753	2176
896	18780	2156
897	18807	2136
898	18831	2115
899	18855	2095
900	18877	2074
901	18901	2053
902	18924	2032
903	18938	2011
904	18961	1990
905	18973	1968
906	18996	1947
907	19021	1927
908	19034	1905
909	19060	1885
910	19072	1863
911	19096	1842
912	19109	1820
913	19133	1800
914	19158	1779
915	19170	1758
916	19194	1737
917	19207	1715
918	19231	1695
919	19255	1674
920	19267	1652
921	19292	1632
922	19316	1611
923	19340	1590
924	19352	1569
925	19376	1548
926	19401	1527
927	19424	1507
928	19447	1486
929	19470	1465
930	19493	1444
931	19506	1423
932	19531	1402
933	19556	1381
934	19583	1361
935	19608	1340
936	19619	1319
937	19642	1298
938	19655	1276
939	19680	1256
940	19704	1235
941	19729	1214
942	19739	1193
943	19764	1172
944	19787	1151
945	19799	1130
946	19811	1108
947	19837	1088
948	19864	1067
949	19896	1047
950	19913	1026
951	19931	1004
952	19949	983
953	19977	963
954	19997	942
955	20015	921
956	20044	900
957	20065	879
958	20083	858
959	20099	837
960	20126	816
961	20139	795
962	20151	774
963	20166	753
964	20180	731
965	20208	711
966	20234	690
967	20248	669
968	20272	648
969	20296	627
970	20321	606
971	20345	586
972	20358	564
973	20384	544
974	20396	522
975	20421	502
976	20446	481
977	20470	460
978	20481	439
979	20505	418
980	20528	397
981	20539	376
982	20564	355
983	20588	334
984	20599	313
985	20625	292
986	20650	271
987	20662	250
988	20686	230
989	20708	209
990	20721	188
991	20745	167
992	20769	146
993	20792	125
994	20804	104
995	20827	83
996	20839	62
997	20862	41
998	20874	20
999	20899	0
